"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","220uF/10V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C2,C_ADC1,C_SCHM1,C_SW1,C_SW2,C_VCC1,C_VCC2,C_VCC3","8","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C_BOOST1","1","22uF/10V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C_FILT1,C_FILT2,C_FILT3,C_FILT4,C_FILT5,C_FILT6","6","10nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"C_PI1","1","10uF/10V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"D_BAR1,D_BOOST1,D_EXT1","3","1N5822","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf"
"J1","1","WIRE","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",""
"J2","1","PHI","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",""
"J3","1","THETA","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",""
"J4","1","Barrel_Jack_Switch","","","","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal",""
"J5","1","LiPo 1S","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"J6","1","BENCH_5V","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"J_EXP1","1","AUX_IO","","","","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical",""
"J_FB1,J_FB2,J_FB3","3","0R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"J_SW1","1","SWITCHES","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",""
"L1","1","10uH","","","","Inductor_THT:L_Radial_D10.0mm_P5.00mm_Neosid_SD12_style3",""
"LED1","1","Green","","","","LED_THT:LED_D5.0mm",""
"MOD_MT3608","1","MT3608_DC-DC_STEP_UP_CONVERTER_2A_BOOSTER_MODULE","","","","MT3608_DC-DC_STEP_UP_CONVERTER_2A_BOOSTER_MODULE:MODULE_MT3608_DC-DC_STEP_UP_CONVERTER_2A_BOOSTER_MODULE",""
"MOD_TP4056","1","TP4056_MICRO-USB_CHARGER_-_1A","","","","TP4056_MICRO-USB_CHARGER_-_1A:MODULE_TP4056_MICRO-USB_CHARGER_-_1A",""
"Q_RPP1","1","PJA3441","","","","Package_TO_SOT_SMD:SOT-23_Handsoldering",""
"R_AUX1,R_AUX2,R_AUX3,R_AUX4","4","100R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R_BOT1,R_BOT2,R_BOT3,R_BOT4,R_BOT5,R_BOT6","6","20k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R_LED1","1","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R_MON1,R_MON2","2","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R_RPP1","1","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R_SW1,R_SW2,R_TOP1,R_TOP2,R_TOP3,R_TOP4,R_TOP5,R_TOP6","8","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"TP1","1","5V_RAIL","","","","TestPoint:TestPoint_Keystone_5019_Miniature",""
"TP2","1","3V3","","","","TestPoint:TestPoint_Keystone_5019_Miniature",""
"TP3","1","MT3608_OUT","","","","TestPoint:TestPoint_Keystone_5019_Miniature",""
"TP4","1","BAT+","","","","TestPoint:TestPoint_Keystone_5019_Miniature",""
"TP5","1","BAT_OUT","","","","TestPoint:TestPoint_Keystone_5019_Miniature",""
"TP6","1","GND","","","","TestPoint:TestPoint_Keystone_5019_Miniature",""
"TVS1,TVS2,TVS3,TVS4,TVS5,TVS6","6","D_TVS","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal",""
"TVS_BAR1","1","SMAJ5.0A","","","","Diode_SMD:D_SMA_Handsoldering","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet"
"U1","1","ESP32-S3-DEVKITC-1-N16R8V","","","","ESP32-S3-DEVKITC-1-N16R8V:XCVR_ESP32-S3-DEVKITC-1-N16R8V",""
"U_SCHM1","1","74HC14","","","","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74HC14"
